tenure_months,monthly_charges,support_tickets,contract_type,payment_method,churn
41,32.25,4,Month-to-month,Electronic check,1
7,94.44,8,Month-to-month,Bank transfer,1
2,30.31,3,Two year,Bank transfer,1
13,98.76,8,One year,Electronic check,1
18,109.04,0,Month-to-month,Bank transfer,1
18,37.1,5,Month-to-month,Electronic check,1
23,113.22,4,Month-to-month,Bank transfer,1
8,127.04,6,Month-to-month,Bank transfer,1
41,88.04,5,Two year,Electronic check,0
3,92.74,4,Month-to-month,Electronic check,1
25,50.58,5,Month-to-month,Card,1
43,49.37,1,Two year,Bank transfer,0
47,46.93,7,One year,Card,0
41,95.7,3,Two year,Card,0
50,26.15,0,One year,Card,0
14,120.44,5,Month-to-month,Bank transfer,1
57,120.6,7,Month-to-month,Card,1
48,81.75,4,Two year,Bank transfer,0
38,63.93,3,Month-to-month,Bank transfer,0
49,25.18,1,Month-to-month,Bank transfer,1
44,66.44,1,One year,Card,0
30,78.2,8,Month-to-month,Bank transfer,1
44,117.33,4,Two year,Card,1
28,37.4,0,Two year,Bank transfer,0
33,103.82,8,Month-to-month,Bank transfer,1
41,75.84,3,Month-to-month,Card,0
35,124.88,8,Month-to-month,Bank transfer,1
2,32.31,5,One year,Electronic check,1
57,82.41,1,Month-to-month,Bank transfer,0
5,127.58,8,Month-to-month,Electronic check,1
36,38.16,8,Two year,Card,0
60,79.32,3,Two year,Card,0
43,91.49,7,Two year,Card,1
15,27.04,0,Two year,Bank transfer,0
15,20.79,0,Month-to-month,Electronic check,0
56,56.35,8,Month-to-month,Card,1
14,79.32,7,Month-to-month,Card,0
13,30.38,6,One year,Card,0
56,100.2,1,Month-to-month,Card,0
52,114.78,3,Month-to-month,Electronic check,1
9,66.41,4,One year,Electronic check,0
5,68.74,8,Month-to-month,Electronic check,1
35,111.96,1,Month-to-month,Electronic check,1
31,43.51,6,Month-to-month,Electronic check,1
25,49.17,7,One year,Card,0
47,129.5,8,Two year,Bank transfer,1
13,52.64,0,Two year,Bank transfer,0
48,54.5,0,Two year,Card,0
55,78.42,0,Two year,Electronic check,0
5,85.45,3,One year,Electronic check,0
37,47.08,0,Two year,Electronic check,0
38,82.17,5,One year,Electronic check,0
21,46.26,6,Month-to-month,Bank transfer,1
30,54.78,1,Month-to-month,Card,0
37,129.57,1,Two year,Electronic check,0
9,122.66,1,Month-to-month,Card,1
29,111.71,4,Two year,Bank transfer,0
43,109.88,4,Two year,Electronic check,0
9,49.09,1,Two year,Bank transfer,1
19,86.53,5,Month-to-month,Bank transfer,1
17,75.59,4,Month-to-month,Electronic check,1
54,50.43,0,One year,Electronic check,0
17,37.77,7,Two year,Bank transfer,0
1,32.31,2,Two year,Electronic check,0
38,80.78,6,Month-to-month,Electronic check,1
58,122.64,0,One year,Electronic check,0
43,31.31,8,One year,Bank transfer,0
60,122.29,2,Month-to-month,Card,1
48,121.69,6,Two year,Bank transfer,0
18,37.51,1,One year,Electronic check,0
15,41.95,7,One year,Card,0
56,45.04,0,Two year,Electronic check,0
18,115.08,4,One year,Bank transfer,1
44,127.93,8,One year,Electronic check,1
17,39.64,4,Month-to-month,Electronic check,1
23,100.14,5,One year,Bank transfer,0
8,62.37,3,One year,Electronic check,0
1,77.19,8,Two year,Bank transfer,0
48,93.77,5,One year,Electronic check,0
59,56.32,5,Two year,Electronic check,0
20,75.78,6,One year,Card,0
36,34.0,6,Two year,Card,0
58,39.14,4,One year,Bank transfer,0
20,51.56,6,Two year,Bank transfer,0
30,68.6,3,Two year,Card,0
